Name,Type,Population,Sexual_Offenses,Robbery_bank,Handbag_Robbery,Other_Robberies,Home_Invasions,Assaults,Simple_Assaults,Theft,Shoplifting,Theft_with_Aggravating_Circumstances,Burglary,Daytime_Burglary,Total_Bicycle_Theft,Total_Vehicle_Theft,Total_Pickpocketing,Assault_on_Officials,Resistance_Against_Officials,Assault_on_Officials_Specific,Concealment,Arson,Property_Damage,Drug_Offenses,Violent_Crime,Homicide,Street_Crime,Total_Sum,Total_Crime_Rate
Nordwestmecklenburg,Kreis,160206,20.0,0.0,1.0,10.0,3.0,313.0,778.0,1545.0,533.0,977.0,77.0,28.0,307.0,302.0,74.0,95.0,48.0,47.0,45.0,124.0,1118.0,670.0,376.0,0.0,1478.0,8969.0,5598.417038063493
Northeim,Kreis,132939,23.0,0.0,0.0,7.0,2.0,196.0,622.0,1153.0,397.0,689.0,86.0,29.0,140.0,193.0,79.0,83.0,45.0,38.0,57.0,27.0,637.0,567.0,238.0,1.0,991.0,6300.0,4739.015638751608
Nürnberg,City,526091,88.0,0.0,9.0,66.0,4.0,1337.0,3443.0,8884.0,4288.0,4543.0,250.0,84.0,1926.0,800.0,406.0,337.0,115.0,222.0,336.0,40.0,3832.0,4353.0,1727.0,29.0,6567.0,43686.0,8303.886589962573
Nürnberger Land,Kreis,172941,8.0,0.0,1.0,0.0,1.0,115.0,387.0,802.0,213.0,450.0,40.0,14.0,227.0,105.0,13.0,18.0,6.0,12.0,54.0,12.0,643.0,373.0,145.0,3.0,845.0,4487.0,2594.526456999786
Oberallgäu,Kreis,159576,9.0,0.0,0.0,1.0,0.0,105.0,431.0,636.0,173.0,221.0,17.0,1.0,165.0,59.0,14.0,30.0,16.0,14.0,46.0,15.0,448.0,329.0,119.0,2.0,574.0,3425.0,2146.3127287311377
Oberbergischer Kreis,Kreis,275735,32.0,0.0,0.0,33.0,10.0,379.0,1160.0,2370.0,810.0,1221.0,237.0,73.0,137.0,516.0,126.0,118.0,67.0,51.0,119.0,71.0,1294.0,393.0,510.0,5.0,2221.0,11953.0,4334.959290623244
Oberhausen,City,211099,38.0,0.0,6.0,102.0,10.0,485.0,1327.0,4173.0,1481.0,2439.0,378.0,164.0,510.0,944.0,609.0,109.0,71.0,38.0,134.0,61.0,1650.0,1435.0,767.0,11.0,4069.0,21011.0,9953.1499438652
Oberhavel,Kreis,218855,27.0,0.0,2.0,51.0,7.0,278.0,994.0,1903.0,402.0,2127.0,299.0,116.0,823.0,530.0,97.0,115.0,52.0,63.0,53.0,73.0,1603.0,1096.0,423.0,7.0,2529.0,13670.0,6246.144707683169
Oberspreewald-Lausitz,Kreis,107547,9.0,0.0,1.0,13.0,3.0,140.0,406.0,1245.0,391.0,1464.0,94.0,40.0,542.0,241.0,23.0,21.0,5.0,16.0,57.0,46.0,802.0,277.0,181.0,3.0,1159.0,7179.0,6675.221066138526
Odenwaldkreis,Kreis,97182,12.0,0.0,0.0,5.0,0.0,145.0,343.0,433.0,127.0,297.0,57.0,19.0,61.0,126.0,10.0,17.0,6.0,11.0,21.0,88.0,378.0,200.0,169.0,3.0,545.0,3073.0,3162.1082093391783
