Gebietskennziffer;name;bev_dicht;bev_entw;st_einnkr;beschq_insg;beschq_w;beschq_m;v_gsm;v_lte;v_5g;p_markt;p_hbad;p_freibad;p_notfall;p_grunds;p_sek_1;p_sek_2
8327004;Bärenthal;39,01;0,45;1544,84;72,11;70,5;73,55;100;99,2;53,9;3,26;12,4;11,37;26,95;8,22;12,15;22,26
8327005;Balgheim;169,51;0,71;1796,76;71,31;68,21;74,29;99,7;94;88,4;1,48;11,49;7,17;7,75;4,12;5,96;4,69
8327006;Böttingen;86,08;-0,28;1237,91;78,73;74,76;82,2;100;92,9;85,9;4,15;12,97;17,63;18,41;2,52;12,3;12,39
8327007;Bubsheim;175,03;1,53;3359,01;81,99;74,43;87,22;100;100;99,9;1,96;12,07;20,4;21,25;1,21;11,9;12,6
8327008;Buchheim;40,55;1,89;1132,8;73,96;69,27;78,17;100;97;94,9;10,34;15,87;6,68;22,36;2,75;11,75;16,9
8327009;Deilingen;175,62;2,25;1643,92;74,41;70,78;77,64;100;99;92,2;4,55;9,74;19,6;19,57;1,56;5,18;7,11
8327010;Denkingen;194,41;2,2;1990,39;74,57;72,3;76,64;100;94,6;88;3,5;7,29;9,98;9,03;2,75;7,05;7,86
8327011;Dürbheim;115,59;0,54;1363,83;74,59;70,23;78,89;97,9;87,7;66,3;1,91;14,62;9,89;11,32;2,02;9,52;8,26
8327012;Durchhausen;115,56;1,85;1591,33;70,52;69,31;71,6;100;100;99,9;5,76;15,15;10,635;14,6;6,02;7,75;8,92
8327013;Egesheim;84,09;0;1192,8;79,08;68,69;88,73;100;100;92,2;5,95;8,4;22,285;23,16;3,81;9,18;10,46
8327016;Fridingen an der Donau, Stadt;138,67;-0,38;1259,46;72,64;65,67;79,02;100;93,8;83,8;4,34;13,2;3,27;19,99;3,12;4,02;20,28
8327017;Frittlingen;248,24;0,13;4255,28;72,24;67,44;76,4;100;99,9;98,4;4,3;7,75;10,65;11,29;2,43;7,49;9,76
8327018;Geisingen, Stadt;87,34;0,68;1840,69;71,65;70,73;72,53;100;93,8;80,7;7,21;15,4;14,76;21,57;4,05;11,67;15,9
8327019;Gosheim;405,36;-0,73;1758,44;77,49;73,77;80,86;100;98,2;95,2;2,34;3,61;14,97;13,44;2,48;5,57;3,44
8327020;Gunningen;142,1;1,71;1673,65;69,12;67,86;70,24;100;99,4;93,4;4,78;15,39;8,71;11,48;5,32;10,41;10,15
8327023;Hausen ob Verena;142,08;1,52;941,96;71,49;67,47;75,39;100;94,2;78;6,57;14,37;8,055;9,34;7,94;9,27;8
8327025;Immendingen;89,21;1,18;1228,91;71,62;65,88;77,07;99,3;85,4;80,3;5,6;16,46;14,09;17,33;5,6;5,92;14,36
8327027;Irndorf;47,25;-0,03;1417,86;66,97;63,91;70,28;100;100;85,9;12,78;22,18;14,41;30,34;1,59;13,47;26,4
8327029;Königsheim;138,44;1,38;1714,6;75,53;69,68;81,25;100;100;84,5;7,99;12,1;21,08;25,25;7,06;13,05;14,33
8327030;Kolbingen;77,33;0,42;2209,9;72,1;68,19;75,93;100;99,8;95,9;5,99;7,65;13,91;17,89;1,98;13,12;18,68
8327033;Mahlstetten;66,56;-0,15;1274,89;82,12;74,25;89,52;99,9;91,7;81,4;10,74;13,99;19,48;20,15;9,39;18,31;17,14
8327036;Mühlheim an der Donau, Stadt;166,84;0,12;2591,02;73,55;69,62;77,49;98,8;89,1;81,4;2,75;3,49;-9999;12,96;3,14;9,99;13,96
8327038;Neuhausen ob Eck;84,91;0,06;2688,7;75,71;70,86;80,52;100;99;96,7;7,24;14,6;9,9;16,84;6,04;12,38;15,42
8327040;Reichenbach am Heuberg;77,54;-1,74;1600,05;77,52;76,06;78,85;100;100;96,2;5,21;10,87;21,97;20,54;1,34;6,7;7,99
8327041;Renquishausen;99,09;0,21;1842,7;80,55;79,07;81,78;100;99,5;88,3;9,83;11,5;17,3;21,74;5,69;16,06;18,3
8327046;Spaichingen, Stadt;731,41;1,1;1803,84;72,36;67,35;77,07;99,5;97,3;94,4;2,54;8,56;4,1;4,3;3,72;3,73;3,1
8327048;Talheim;97,48;1,11;1349,66;75,06;73,04;76,94;100;100;99,1;2,28;14,58;13,81;18,7;2,3;11,53;12,63
8327049;Trossingen, Stadt;726,07;1,03;1351,81;65,2;58,53;71,33;100;99,9;95,3;2,12;9,77;4,94;14,03;2,29;2,83;3,38
8327050;Tuttlingen, Stadt;414,13;1,13;2478,93;71,83;65,59;77,56;99,9;95,4;85,9;2,78;7,41;7,63;6,95;3,6;5,23;7,29
8327051;Wehingen;251,13;0,24;1975,56;74,68;69,49;79,41;100;96,3;86,1;2,19;8,3;18,35;17,23;3,04;3,23;4,72
8327054;Wurmlingen;251,49;0,21;2180,1;72,76;66,64;78,95;98,8;87;62,3;2,18;7,49;5,355;9,86;2,34;2,36;6,98
8327055;Seitingen-Oberflacht;131,45;0,45;1297,42;72,86;72,5;73,19;100;97,8;76,2;1,53;12,66;10,135;15,01;1,97;11,34;12,12
8327056;Rietheim-Weilheim;239,4;0,46;4841,42;74,96;68,77;81,04;99,6;92,7;66,4;4,52;11,03;9,5;11,89;3,73;7,13;9,15
8327057;Emmingen-Liptingen;88,36;0,54;1710,26;75,58;70,9;80,16;100;95,3;88,2;4,91;15,04;13,71;13,56;6,62;5,3;13,88
8335001;Aach, Stadt;223,22;0,71;1318,6;68,07;64,14;71,9;100;99,4;89,7;1,79;13,47;10,43;16,69;2,96;6,72;8,8
8335002;Allensbach;274,75;0,49;1295,96;63,49;64,99;61,84;100;93,7;72,1;3,91;13,34;11,81;13,15;3,9;11,42;10,83
8335015;Büsingen am Hochrhein;208,01;1,97;1678,59;19,25;20,71;17,73;100;98,3;81;6,49;9,96;12,02;18,37;2,6;16,28;19,47
8335021;Eigeltingen;66,24;0,64;1916,31;69,31;67,08;71,46;99,8;93,9;84,5;6,84;13,61;12,155;13,11;6,42;7,36;13,51
8335022;Engen, Stadt;160,93;1,13;1571,48;67,46;65,11;69,78;99,7;95,8;88,6;4,52;15,28;6,035;16,2;4,56;5,88;6,06
8335025;Gaienhofen;271,57;-0,34;1260,01;53,19;54,97;51,28;100;90,7;65,9;3,36;20,82;5,905;18,62;3,51;3,7;18,4
8335026;Gailingen am Hochrhein;225,8;1,06;1041,52;46,47;49,78;43,05;98,9;69,7;49,6;2,64;3,43;10;17,24;2,43;15,15;18,35
8335028;Gottmadingen;461,62;0,62;1283,39;61,01;60,67;61,35;100;100;98,2;2,96;11,37;4,22;9,31;3,89;7,24;10,43
8335035;Hilzingen;169,41;0,88;1285,06;62,16;61,97;62,35;100;98,7;86,1;4,71;10,87;4,63;9,28;4,37;5,35;9,98
8335043;Konstanz, Universitätsstadt;1586,46;0,34;1416,45;54,99;54,73;55,26;100;94,1;88;2,25;6,52;4,51;7,64;2,46;5,94;6,33
