Gebietskennziffer;name;bev_dicht;bev_entw;st_einnkr;beschq_insg;beschq_w;beschq_m;v_gsm;v_lte;v_5g;p_markt;p_hbad;p_freibad;p_notfall;p_grunds;p_sek_1;p_sek_2
1058174;Winnemark;56,16;0,5;896,7;52,78;52,1;53,5;99,4;99,4;99,4;5,8;16,89;21,03;22,47;6,33;11,42;12,52
1058175;Ahlefeld-Bistensee;51,79;1,31;844,1;50,99;55,41;46,79;100;99,8;96,3;7,24;15,4;12,7;18,38;6,02;14,1;14,51
1059001;Alt Bennebek;23,63;0,68;1795,21;62,68;63,27;62,16;100;100;99,2;7,81;23,22;12,17;23,67;9,1;9,1;22,79
1059002;Arnis, Stadt;606,67;-0,5;1548,4;54;53,85;54,17;92,9;92,9;92,9;7;21,93;14,57;28,13;9,7;7,14;6,46
1059005;Bergenhusen;40,29;0,65;791,67;60,81;61,43;60,19;100;100;100;2,75;30,45;9,12;35,61;14,67;22,34;33,89
1059006;Böel;51,98;-0,08;725,41;62,81;62,33;63,25;100;100;100;6,72;21,54;8,485;19,56;8,27;8,76;12,12
1059008;Böklund;215,36;0,89;4669,08;69,65;67,8;71,35;100;100;100;1,82;14,85;12,01;12,86;3,31;3,31;13,65
1059009;Börm;41,15;0,59;1504,89;66,67;68,38;65,12;100;100;100;12,59;27,99;14,52;29,26;13,82;13,84;27,2
1059010;Bollingstedt;55,79;1,28;1189,13;66,42;66,6;66,24;100;100;100;8,18;16,97;12,25;18,8;8,15;10,33;17,91
1059012;Borgwedel;77,89;3,2;942,09;58,2;61,11;54,76;99,4;99,4;99,4;4,74;12,45;19,2;15,68;6,67;11,58;11,4
1059018;Busdorf;384,3;-0,15;1328,59;66,31;65,7;66,95;99,6;99,6;99,6;2,73;7,48;11,7;10,8;2,19;6,04;6,43
1059019;Dannewerk;67,77;-0,09;1035,22;65,26;67,74;62,79;100;100;100;7,69;13,35;14,93;16,55;7,55;6,34;12,31
1059020;Dörpstedt;34,5;0,8;1159,23;64,17;62,84;65,54;100;100;100;11,59;25,9;8,19;27,65;12,2;12,4;26,45
1059023;Ellingstedt;34,02;-1,18;2411,23;65,91;62,56;68,97;100;100;100;10,38;18,91;17,28;20,5;11,45;11,2;19,61
1059024;Erfde;61,54;2,29;854,81;64,89;61,94;67,81;100;100;100;3,61;22,4;3,42;28,07;4,76;16,42;26,1
1059026;Fahrdorf;219,08;0,68;1080,3;57,4;58,74;55,93;99,6;99,6;99,6;2,42;9,92;16,505;13,24;6,3;9,05;8,87
1059032;Geltorf;45,42;0,45;1110,41;63,09;65,57;60,36;100;100;100;8,07;13,22;15,49;16,51;7,52;12,5;12,18
1059034;Grödersby;33,83;0,27;889,53;69,5;73,42;64,52;99;99;99;5,47;22,4;12,215;27,2;8,29;5,61;4,87
1059035;Groß Rheide;60,05;1,29;1071,05;61,94;61,46;62,38;100;100;100;7,05;22,31;11,87;25,46;8,99;8,99;21,26
1059037;Havetoft;61,18;-0,98;742,74;72,66;66,67;78,88;100;100;100;7,71;17,43;6;19,47;6,61;9,67;12,01
1059039;Hollingstedt;60,71;0,54;869,17;70,24;67,35;72,9;100;100;100;7,37;21;10,81;22,55;7,8;7,18;22,08
1059041;Hüsby;83,37;0,1;1217,53;69,44;71,03;67,86;100;100;100;7,6;12,81;19,135;14,99;7,44;9,42;12,15
1059042;Idstedt;65,62;-0,64;828,2;69,42;60,98;78,97;100;100;99,7;6,87;10,75;11,83;12,73;7,74;8,12;11,98
1059043;Jagel;81,92;0,83;1010,22;74,06;74,09;74,04;100;100;100;6,57;11,13;6,825;14,45;5,57;8,49;10,08
1059044;Jübek;174,33;-0,13;963,95;65,59;64,29;66,92;100;100;100;2,82;16,05;16,905;18,23;3,3;10,59;17,27
1059045;Kappeln, Stadt;198,64;-0,16;1292,68;66,76;66,67;66,86;99,2;99,2;99,2;3,01;20,28;15,53;26,47;5,63;5,6;6,82
1059049;Klappholz;58,15;0,17;999,26;67,64;59,26;76,87;100;99,8;99,3;6,36;19,04;8,71;17,83;7,58;7,9;14,95
1059050;Klein Bennebek;20,44;-0,23;700,82;68,05;68,59;67,58;100;100;100;7,29;23,42;11,56;24;8,6;8,67;22,78
1059051;Klein Rheide;26,29;0,3;1385,64;60,79;68,27;54,47;100;100;100;5,25;18,19;10,32;21,36;7,03;7,08;17,14
1059053;Kropp;209,52;0,35;1079,54;58,65;59,87;57,47;100;100;99,9;3,27;17,44;6,495;18,54;4,19;4,2;16,57
1059055;Loit;39,46;0,39;1017,92;67,26;65;69,32;100;100;100;8,1;17,18;9,86;15,19;9,74;10,07;17,43
1059056;Lottorf;40,48;-1,5;649,43;61,81;58,11;65,71;100;100;100;9,38;13,77;13,77;17,09;8,21;13,01;12,72
1059057;Lürschau;65,05;-0,29;1481,55;64,83;62,28;67,63;100;100;100;5,96;10,08;16,79;12,1;7,55;10,3;11,26
1059058;Meggerdorf;28,62;-0,03;732,75;67,05;66,98;67,11;100;100;99,8;5,08;19,77;9,705;28,26;9,05;13,41;27,35
1059060;Mohrkirch;70,11;0,93;761,19;62,5;65,25;59,87;100;100;99,4;6,44;24,69;7,095;23,09;7,03;8,7;10,57
1059062;Neuberend;261,09;0,28;811,47;60,85;61,4;60,26;100;100;100;4,95;7,64;15,8;7,94;7,58;7,89;8,43
1059063;Norderbrarup;166,08;0,31;705,1;68,04;63,46;72,68;100;100;100;3,79;22,45;5,33;20,47;5,57;5,38;14,5
1059065;Nottfeld;36,48;-1,29;875,67;67,65;67,74;67,57;100;98,4;99,7;4,04;22,21;4,615;20,21;4,61;4,44;14,25
1059067;Oersberg;43,16;0,26;649,03;56,16;56,84;55,56;100;100;100;6,77;26,84;12,005;28,77;11,2;8,73;10,22
1059068;Rabenkirchen-Faulück;46,38;0,89;801,73;63,2;65,27;61,54;99,9;99,9;99,9;6,74;23,91;8,97;27,24;8,05;6,46;6,31
1059070;Rügge;40,6;1,03;736,47;55,06;51,25;58,97;100;100;100;5,85;27,65;9,435;25,67;8,85;8,86;15,13
1059072;Saustrup;23,22;-0,41;942,38;83,74;79,66;87,5;100;100;100;5,5;25,18;7,32;23,2;8,3;8,2;16,38
1059073;Schaalby;63,28;0,24;796,82;62,24;61,18;63,36;99,5;99,5;97,9;5,4;10,7;19,27;8,71;4,08;11,03;11,16
1059074;Scheggerott;55,7;-0,77;639,53;70,09;68,14;72,07;100;100;100;3,76;28,39;10,26;26,54;10,09;9,65;13,95
1059075;Schleswig, Stadt;1063,05;0,57;1371,4;58,15;56,4;59,93;99,6;99,6;98,9;2,25;4,43;17,69;5,41;2,87;3,87;4,27
1059076;Schnarup-Thumby;50,7;0,11;906,94;63,47;61,39;65,45;100;100;100;7,22;21,39;9,13;19,4;7,94;8,81;9,77
1059077;Schuby;114,79;0,51;1615,61;67,72;68,63;66,79;100;100;100;3,78;10,46;17,36;12,08;4,07;7,84;11,27
1059078;Selk;85,6;-0,34;1075,98;60,76;65,63;55,69;100;100;100;5,13;9,58;12,035;12,91;4,03;8,85;8,53
1059079;Silberstedt;64,23;1,64;1318,42;65,19;63,96;66,36;100;100;100;5,09;18,63;13,5;20,4;6,09;6,82;19,72
1059080;Steinfeld;95,99;0,95;690,51;63,28;55,88;71,11;100;100;100;8,01;21,51;8,46;19,52;8,57;8,4;18,24
1059081;Stolk;57,77;1,37;599,75;69,2;71,43;67,06;100;100;100;5,81;14,26;13,25;15,48;5,51;6,03;15,35
1059082;Struxdorf;50,9;1,08;1006,2;54,68;51;58,06;100;100;100;6,26;18,72;12,295;16,73;8,06;8,12;13,65
1059083;Süderbrarup;266,15;1,55;1113,88;63,52;63,09;63,95;100;100;100;3,85;22,81;4,1;21;4,8;4,49;12,88
1059084;Süderfahrenstedt;50,27;-0,22;801,73;68,38;70,67;65,96;100;100;100;5,14;15,36;16,3;13,5;6,84;6,84;15,86
1059086;Taarstedt;66,4;0,07;1077,84;63,48;61,54;65,33;100;100;99,8;6,33;16,61;14,94;14,62;9,68;12,92;17,07
1059087;Tetenhusen;40,88;-0,55;965,42;69,27;71,18;67,27;100;100;100;3,22;15,94;12,415;17,91;8,99;9,12;17,15
1059088;Tielen;22,19;0,41;723,5;60,54;61,96;59,14;100;100;100;4,8;21,87;5,98;26,16;6,09;14,53;24,18
1059090;Tolk;99,04;0,39;1058,96;64,28;65,27;63,28;100;100;100;5,98;13,67;16,365;11,68;7,08;7,73;14,13
1059092;Treia;73,71;0,45;1391,97;66,7;67,97;65,49;100;99,9;98,1;3,59;19,76;8,41;21,68;3,53;7,29;21,26
1059093;Uelsby;38,9;-1,01;1021,39;81,67;71,9;91,6;100;99,9;97;5,38;18,72;10,31;16,73;6,7;6,88;10,55
1059094;Ulsnis;35,79;1,36;801,93;53,05;53,61;52,5;99,3;99,3;99,2;6,87;21,79;11,055;19,55;10,86;10,79;18,5
1059095;Wagersrott;41,03;0;453,49;46,48;40;52,78;100;100;100;5,41;25,92;7,52;23,93;7,96;7,75;15,11
1059096;Wohlde;35,69;0,98;687,9;65,93;59,33;71,86;100;100;99,7;6,54;31,28;2,885;33,17;14,58;18,07;32,37
1059097;Twedt;39,22;-1,26;2130,64;61,29;59,03;63,7;100;100;100;8,41;15,69;12,2;13,7;8,48;10,72;15,53
1059098;Nübel;69,63;-0,68;1237,55;64,73;64,72;64,73;100;100;100;6,61;9,6;18,8;8,25;7,45;8,85;10,06
1059101;Tastrup;92,55;-1,67;930,49;0;0;0;100;100;100;2,89;6,2;10,19;9,56;4,54;5,64;5,64
1059102;Ahneby;53,42;0,4;1125,92;65;61,29;68,97;100;100;100;4,78;25,64;6,185;26,49;5,55;5,75;11,74
1059103;Ausacker;57,39;-0,23;795,45;58,88;63,35;54,38;100;100;100;5,31;15,18;8,265;17,99;6,33;8,53;8,73
1059105;Böxlund;28,64;5,71;2306,79;64,47;65,63;63,64;100;100;100;7,15;20,12;11,58;23,09;7,38;15,29;15,45
1059106;Dollerup;78,98;0,42;965,42;61,4;61,02;61,79;100;99,8;99,4;5,5;15,07;13,51;21,79;6,24;12,46;18,49
1059107;Eggebek;154,68;1,56;1179,3;65,03;64,21;65,84;100;100;100;3,05;19,12;6,435;23,14;3,58;3,58;22,11
1059109;Esgrus;42,83;-0,13;724,37;60,95;58,02;63,94;100;100;100;6,56;29,38;12,74;29,09;8,56;8,76;17,1
1059112;Gelting;107,49;1,78;868,68;65,95;64,73;67,17;100;100;98,2;4,06;30,42;21,88;36,94;3,53;13,17;15,25
1059113;Glücksburg (Ostsee), Stadt;160,71;1,3;1130,08;54,25;56,28;52,1;99;99;95,8;4,45;5,93;23,6;17,86;5,19;14,08;14,08
1059115;Großenwiehe;108,91;1,9;1291,67;66,62;67,86;65,43;100;100;100;3,03;15,62;13,46;19,64;3,71;12,92;15,42
1059116;Großsolt;71,88;0,35;796,67;65,16;62,46;68,01;100;100;99,8;3,69;14,64;7,39;18,48;3,93;8,78;8,68
1059118;Grundhof;78,39;1,12;1538,82;59,3;55,6;63,68;100;100;100;5,42;15,06;11,325;20,98;5,77;13,18;16,64
1059120;Harrislee;629,49;0,61;1432,15;54,99;55,93;54,05;99,9;99,9;91,7;3,99;4,79;10,22;8,35;4,45;4,64;9,11
1059121;Hasselberg;78,34;2,46;814,2;59,63;63,45;55,92;100;100;100;5,38;27,31;19,415;33,51;3,29;9,07;10,97
1059123;Hörup;34,16;0,74;2929,86;65,87;67,58;64,25;100;100;100;6,19;11,86;6,16;24,34;9,29;9,24;18,76
1059124;Holt;11,18;-3,05;5845,43;64;64,44;63,64;100;100;100;5,76;17,86;14,92;27,07;5,46;15,9;20,78
1059126;Hürup;79,88;0,89;1346,44;114,92;117,23;112,6;100;99,7;99,7;2,3;10,24;9,815;13,23;6,91;9,77;9,78
1059127;Husby;126,05;0,98;953,99;61,64;60,96;62,31;100;100;100;3,77;12,75;11,69;17,78;3,97;12,44;13,04
1059128;Janneby;28,92;1,16;1998,53;60,53;60,58;60,47;100;100;100;5,71;18,02;12,86;22,04;8,37;11,61;19,3
1059129;Jardelund;18,7;-0,06;3901,36;55,61;55,32;55,83;100;100;100;8,63;17,97;13,925;20,88;9,32;13,24;13,24
1059131;Jerrishoe;64,25;1,69;1087,18;65,02;64,55;65,49;100;100;99,9;4,79;16,41;5,05;20,44;5,88;6,22;18,88
1059132;Jörl;40,68;2,82;1393,73;67,25;67,89;66,67;100;100;91,2;5,65;20,23;9,96;24,15;9,61;10,88;21,65
1059136;Kronsgaard;41,72;1,2;1077,52;57,6;60;54,55;100;100;100;8,13;31,34;23,65;37,54;6,94;13,1;15
1059137;Langballig;104,74;1,11;1275,45;57,54;58,06;57,01;99,7;99,5;99,3;3,07;13,03;15,785;19,76;2,95;16,3;16,71
1059138;Langstedt;80,03;0,31;727,48;65,93;65,87;65,99;100;100;99;4,8;17,26;7,39;21,27;4,79;4,79;20,43
1059141;Maasbüll;92,87;1;905,2;0;0;0;100;100;100;4,95;10,08;14,35;14,17;5,83;9,5;9,5
1059142;Maasholm;72,33;0,96;1173,89;63,54;55,71;70,95;97,4;97,4;97,4;3,44;29,56;22,39;35,76;5,3;11,32;13,21
1059143;Medelby;109,23;2,23;2286,2;66;65,2;66,78;100;100;100;1,82;18,78;13,13;23,81;2,34;12,19;16,21
1059144;Meyn;63,95;1,35;1340,96;55,35;56,84;53,97;100;100;100;6,2;18,18;3,78;18,95;3,75;3,75;8,38
1059145;Munkbrarup;87,42;0,59;958,14;59,61;60;59,16;99,6;99,6;99,6;6,33;8,75;20,58;17,04;5,42;13,99;13,99
1059147;Nieby;16,23;0,31;1507,24;63,64;65,22;61,9;100;100;95,9;9,65;37,22;28,075;43,47;7,79;19,02;20,92
1059148;Niesgrau;52,88;-0,88;1711,37;64,47;69,33;59,74;99,9;99,9;99,9;6,05;26,11;16,55;32,45;6,8;9,72;19,76
1059149;Nordhackstedt;39,62;0,46;6833,69;65,05;68,92;61,88;100;100;100;7,49;17,39;8,84;24,89;6,88;6,88;16,22
1059151;Osterby;25,18;0,26;2709,87;72,68;66,98;79,55;100;100;100;5,8;17,93;10,775;19,28;6,79;9,96;11,68
1059152;Pommerby;27,39;-0,88;1149,61;59,72;60,42;58,33;100;100;100;7,83;34,24;25,975;40,49;6,23;16,04;17,94
1059154;Rabel;71,38;0,22;1008,08;71,05;72,73;69,43;99;99;99;4,27;24,21;16,64;30,41;3,49;5,97;7,86
1059155;Rabenholz;48,45;-0,07;980,96;68,63;75,95;60,81;100;100;99,8;6,46;28,58;21,51;34,77;6,81;10,6;12,11
1059157;Ringsberg;103,62;0,04;864,6;63,91;67,22;60,13;100;100;100;5,08;9,21;17,34;16,16;5,11;13,12;13,12
1059158;Schafflund;149,92;1,75;1341,51;64,08;63,35;64,8;100;100;100;3,21;14,88;5,5;21,5;4,34;4,35;13,39
1059159;Sieverstedt;53,98;0,4;1015,52;66,7;64,72;68,49;100;99,5;97,2;7,36;12,85;5,78;17,07;4,2;7,88;15,07
1059161;Sörup;97,16;-0,02;1410,78;63,99;59,84;68,12;100;100;100;3,82;20,08;4,63;23,4;4,33;7,73;10,18
1059162;Sollerup;36,9;-0,33;1119,11;67,56;68,46;66,67;100;100;100;5,93;23,91;12,9;26,82;8,25;10,02;25,8
1059163;Stangheck;23;1,2;689,12;78,63;81,97;75;100;100;99,8;6,73;31,11;16,48;32,98;7,86;12,68;16,87
1059164;Steinberg;50,34;-0,24;1054,47;58,74;60,71;56,76;99,8;99,7;98,4;5,68;24,87;16,56;31,59;6,37;9,45;22,3
1059167;Sterup;81,05;0,67;781,28;66,17;65,6;66,75;100;100;100;3,78;25,77;9,56;28,29;4,44;4,49;15,07
1059168;Stoltebüll;40,67;-1,32;853,46;58,9;55,61;62,37;100;100;99,9;7,77;27,53;16,85;32,25;9,91;9,54;11,05
1059169;Süderhackstedt;34,19;-0,4;535,9;62,84;57,45;66,94;100;100;99,4;4,18;21,83;10,68;25,17;9,49;9,56;24,67
1059171;Tarp;372,13;1,94;2666,53;62,85;61,23;64,53;100;100;99,8;3,15;12,99;4,35;17,22;3,74;3,99;16,12
1059173;Wallsbüll;73,02;0,71;686,36;64,46;66,23;62,71;100;100;100;5,03;16,7;7,155;17,62;6,47;6,56;10,01
1059174;Wanderup;93,16;1,37;1671,14;65,79;65,9;65,68;100;100;100;3,34;11,84;10,66;15,86;3,46;9,71;13,04
1059176;Wees;189,25;0,05;1322,07;58,62;58,79;58,43;100;100;100;3,72;6,87;18,32;12,01;4,05;8,97;8,97
1059177;Weesby;21,36;1,4;2177,35;55,36;50,35;60,58;100;99,8;99,7;7,09;21,4;10,43;25,93;6,64;16,85;18,55
1059178;Westerholz;51,94;0,82;956,44;61,57;61,67;61,46;99,1;97,2;86,7;9,04;18,94;18,62;25,66;8,69;17,16;22,62
1059179;Lindewitt;37,91;1;1336,14;62,94;62,27;63,59;100;100;96,6;6,92;18,74;-9999;24,26;8,11;13,02;19,26
1059182;Freienwill;107,32;0,47;950,88;61,81;58,88;64,58;100;100;100;5,99;9,78;4,605;12,95;6,87;9,93;9,85
1059183;Handewitt;145,97;0,48;1764,46;64,43;66,41;62,44;100;100;99,6;4,16;9,58;7,92;12,09;4,97;6,35;6,25
1059184;Oeversee;99,12;1,05;946,72;63,71;63,29;64,13;100;100;95,4;4,64;8,02;8,57;15,07;5,28;9,5;13,61
1059185;Mittelangeln;120,13;0,89;1226,26;64,65;62,23;67,2;100;100;99,8;4,67;20,35;5;21,85;4,92;6,09;6,03
1059186;Steinbergkirche;78,47;0,41;935,17;63,12;59,1;67,56;99,9;99,8;99,3;4,75;20,91;12,68;27,34;5,48;8,27;19,01
1059187;Boren;39,67;0,73;895,63;60,95;62,07;59,88;99,3;99,3;99,3;6,73;23,76;7,23;21,11;7,03;6,84;11,78
1059188;Stapel;56,9;0,75;1081,23;64,27;60,58;67,77;100;100;100;2,99;29,09;9,755;29,73;10,66;22,63;27,85
1059189;Brodersby-Goltoft;51,38;-0,09;1052,97;58,52;55,84;61,22;99,1;99;98,5;2,58;16,5;18,01;14,53;10,59;16,26;17,03
1060002;Alveslohe;130,52;0,23;1177,74;69,71;64,77;74,21;100;100;99,9;3,46;9,65;4,47;21,49;3,33;8,45;8,17
1060003;Armstedt;42,15;-1,11;981,36;66,94;60,48;73,39;100;100;99,8;4,18;18,42;5,66;24,52;5,58;6,26;6,26
1060004;Bad Bramstedt, Stadt;635,09;1,47;1082,52;68,5;64;72,99;100;100;99,9;3,19;12,34;4,15;22,91;3,4;5,22;4,85
1060005;Bad Segeberg, Stadt;965,61;1,1;1282,89;63,99;64,58;63,41;100;100;100;2,38;4,11;4,29;4,34;3,59;4,34;3,94
1060006;Bahrenhof;37,3;0,09;854,64;57,33;60,81;53,95;100;93,3;93,5;13,54;14,13;13,635;15,87;7,07;15,02;14,54
1060007;Bark;48,95;0,45;900,86;71,15;71,81;70,53;100;100;100;4,36;11,08;10,555;13,72;8,77;10;12,19
1060008;Bebensee;96,86;0,94;1073,33;70,91;70,59;71,27;100;100;100;7,34;12,36;14,4;12,76;8,74;8,74;12
1060009;Bimöhlen;59,51;0,85;1143,97;59,32;64,53;55,32;100;99,8;98,5;7,85;14,19;8,99;21,86;8,24;12,59;12,54
1060010;Blunk;55,19;-0,13;1140,47;67,95;63,64;71,92;100;100;99,9;10;13,7;11,44;11,56;11,32;12,05;11,94
1060011;Boostedt;266,03;0,84;857,63;42,04;49,71;36,67;100;100;79,1;2,23;12,97;14,745;10,24;2,71;2,71;10,39
1060012;Bornhöved;239,16;0,59;1237,76;69,65;67,12;72,18;100;100;100;2,87;17,17;6,41;18,61;3,48;3,48;6,81
1060013;Borstel;26,95;1,23;805,24;58,23;61,54;55;100;100;100;4,46;23,72;4,17;26,29;5,61;11,55;11,55
1060014;Buchholz (Forstgutsbez.),gemfr. Gebiet;-9999;-9999;-9999;-9999;-9999;-9999;100;95,1;91,6;5,91;8,54;5,08;17,04;7,67;7,36;16,12
1060015;Bühnsdorf;90,12;0,44;1168,95;71,04;78,57;65,04;100;99,8;100;10,37;11,13;12,16;12,93;3,99;12,5;11,91
1060016;Daldorf;40,77;-0,75;1757,86;72,77;70,48;75,12;100;100;100;2,35;13,36;6,305;14,37;6,99;7,09;7,09
1060017;Damsdorf;30,1;-0,09;1929,22;71,85;70,42;73,44;100;99,1;90,3;6,99;19,78;9,25;17,64;6,5;9,82;9,82
1060018;Dreggers;18,28;-1,45;654,33;53,85;46,15;61,54;100;100;100;7,77;8,5;9,58;10,3;5,9;9,88;9,29
1060019;Ellerau;888,01;0,37;1739,81;71,63;68,73;74,45;100;100;100;3,6;14,42;2,74;16,95;2,94;6,95;6,04
1060020;Fahrenkrug;257,33;-0,92;1390,86;74,31;72,25;76,09;100;100;100;5,27;6,38;6,99;8,14;2,15;5,84;6,62
1060021;Föhrden-Barl;31,31;-0,86;861,81;72,34;67,74;76,84;100;100;100;4,58;19,11;7,62;26,19;4,32;8,66;8,66
1060022;Fredesdorf;70,97;0,59;627,69;74,55;72,93;76,06;100;100;100;3,26;15,01;15,35;16,58;6,08;6,08;14,89
1060023;Fuhlendorf;62,56;-0,94;1525,33;92,31;93,65;91,04;100;100;99,5;5,32;14,32;4,63;20,09;4,88;5,26;5,06
1060024;Geschendorf;99,65;0,04;1095,63;69,63;72,41;66,86;100;100;100;5,4;11,48;12,475;13,28;6,05;12,86;12,27
1060025;Glasau;46,68;-0,62;846,08;68,29;65,58;70,97;100;100;96,3;7,44;18,97;18,955;19,58;8,56;9,73;15,27
1060026;Gönnebek;34,99;1,76;1511,85;68,92;69,14;68,71;100;100;93,5;4,54;15,03;6,6;17,07;5,44;5,78;6,08
1060027;Großenaspe;67,69;1,25;993,56;68,72;65,93;71,61;100;100;98,7;5,55;17,32;10,78;16,05;5,89;9,64;14,37
1060028;Groß Kummerfeld;62,17;-0,62;978,02;68,61;68,66;68,56;100;100;99,7;6,97;13,22;10,94;10,5;3,57;9,05;10,2
1060029;Groß Niendorf;61,42;-0,39;850,99;69,13;68,25;69,95;100;100;100;3,67;14,3;10,715;15,28;5,56;5,56;14,05
1060030;Groß Rönnau;87,3;-1,25;1121,75;67,53;67,88;67,21;100;100;100;5,08;8,49;8,265;6,35;6,92;8,02;7,69
1060031;Hagen;59,15;-0,12;936,25;61,79;60,27;63,23;100;100;99;7,02;17,93;9,03;26,24;6,28;5,96;5,96
1060033;Hardebek;51,35;2,84;1238,63;63,89;70,13;58,24;100;100;100;5,37;19,34;8,61;17,8;9,36;13,42;13,41
1060034;Hartenholm;127,37;1,33;928,56;68,58;70;67,27;100;100;100;2,5;16,09;8,04;22,23;9,71;15,58;15,65
1060035;Hasenkrug;70,19;1,86;1181,56;68,22;66,41;70,08;100;100;100;1,58;21,3;4,68;22,18;4,78;9,14;9,14
1060036;Hasenmoor;43,02;1,46;848,68;62,5;68,18;57,41;100;100;94,8;6,37;12,14;10,6;21,78;6,23;12,47;12,47
1060037;Heidmoor;16,17;-1,56;1137,61;64,29;56,73;72,83;100;99,4;93,3;10,38;14,47;12,59;25,37;8,8;11,67;11,63
1060038;Heidmühlen;37,97;0,09;1290,35;65,84;64,16;67,58;100;100;99,7;9,17;15,36;14;18,44;11,33;12,04;17,98
1060039;Henstedt-Ulzburg;717,76;0,19;1789,45;72,77;70,17;75,28;100;100;100;2,93;13,37;5,23;20,88;3,58;4,69;5,98
1060040;Hitzhusen;157,63;0,08;1253,94;70,03;67,04;73;100;100;100;4,02;15,09;6,27;24,59;2,24;3,79;3,79
1060041;Högersdorf;82,22;-0,05;1409,99;70,04;66,94;73,02;100;100;100;5,17;5,49;7,9;6,79;4,95;5,45;5,13
1060042;Hüttblek;143,64;0,68;1133,85;64,78;60;69,67;100;100;100;6,59;15,62;4,92;29,91;6,47;10,21;13,96
1060043;Itzstedt;357,5;1,71;1128,92;72,57;70,64;74,45;100;100;100;2,27;19,66;3,595;19,68;5,65;5,65;17,8
1060044;Kaltenkirchen, Stadt;1018,52;2,01;1708,46;71,35;65,07;77,61;100;100;100;2,98;4,5;4,285;22,99;3,51;4,06;3,86
1060045;Kattendorf;85,26;-0,19;976,53;65,95;68,16;63,94;100;100;97,6;7,8;10,6;6,72;28,36;6,11;8,68;9,2
1060046;Kayhude;237,52;1,44;1484,74;70,44;69,78;71,06;100;100;95,1;5,97;20,71;9,875;18;4,95;5,25;16,13
1060047;Kisdorf;163,73;0,58;1254,46;69,27;67,09;71,46;100;100;100;5,03;12,81;7,18;25,95;5,06;5,4;9,55
1060048;Klein Gladebrügge;125,05;0,93;1154,36;77,17;80,71;73,37;100;100;100;3,94;4,81;5,8;6,61;4,95;6,19;5,6
1060049;Klein Rönnau;417,44;3,02;1113,85;63,42;59,72;67,34;100;100;100;3,48;6,94;6,6;4,8;5,25;6,47;6,15
1060050;Krems II;33,87;-1,14;1071,22;58,66;54,26;63,2;100;100;93,7;8,37;12,98;12,13;10,84;9,22;12,43;12,19
1060051;Kükels;54,32;0,91;1027,4;64,07;62,5;65,67;100;100;100;7,36;10,87;12,12;12,32;7,6;7,61;10,63
1060052;Latendorf;34,39;0,92;868,8;65,66;68,72;62,7;100;100;97,8;7,59;16,44;13,51;13,86;7,95;8,12;14,25
1060053;Leezen;120,23;0,99;1680,52;69,76;70,59;68,98;100;100;100;2,28;11,93;13,04;13,1;3,18;3,18;11,59
1060054;Lentföhrden;133,42;0,58;974,1;69,85;65,32;74,04;100;100;98,4;5,27;8,04;2,68;24,13;2,79;8,92;9,07
1060056;Mönkloh;20,21;0,49;1177,06;66,01;62,34;69,74;100;94,8;86,9;6,92;18,48;11,1;27,84;6,92;10,42;10,42
1060057;Mözen;58,68;0,78;990,42;70,2;70,59;69,8;100;100;100;6,71;7,57;10,18;8,97;5,97;6,8;7,3
1060058;Nahe;250,92;1,89;1274,94;67,21;64,07;70,53;100;100;100;2,24;23,41;5,735;22,23;2,81;2,81;15,28
1060059;Negernbötel;59,4;0,2;823,08;68,11;63,37;73,15;100;100;100;3,98;10,14;9,815;12,18;9,92;9,03;10,66
1060060;Nehms;37,99;0,82;836,05;73,9;73,91;73,89;100;99,7;95,1;6,34;16,87;12,425;14,73;7,49;13,14;13,1
1060061;Neuengörs;60,67;0,32;1259,07;66,93;63,9;69,73;100;99,5;98,1;9,65;11,77;12,73;13,57;2,48;13,14;12,55
1060062;Neversdorf;98,75;-0,44;1102,49;71,66;69,63;73,64;100;100;100;4,02;11,39;14,18;10,97;5,58;5,58;11,75
1060063;Norderstedt, Stadt;1409,29;0,81;2581,88;71,85;68,49;75,24;100;100;100;2,65;7,5;9,63;10,38;3,14;4,48;4,62
1060064;Nützen;59,48;2,04;3034,28;77,35;73,62;80,86;100;100;98,2;4,86;5,17;5;21,37;5,51;7,21;7,67
1060065;Oering;157,21;1,62;1116,78;69,59;69,69;69,49;100;100;98,4;5,07;19,66;8,05;21,71;6,64;10,5;18,24
1060066;Oersdorf;135,19;1;1070,47;71,9;69,03;75;100;100;100;4,72;6,65;6,69;24,61;2,65;5,03;5,02
1060067;Pronstorf;44,73;-0,11;875,51;68,41;67,86;68,93;100;99,7;98,1;7,59;16,28;17,31;17,29;5,09;12,82;17,18
1060068;Rickling;82,74;0,67;749,61;59,64;62,65;57,12;100;100;92,3;4,05;8,89;4,91;16,56;4,01;7,82;11,29
1060069;Rohlstorf;61,13;-1,01;911,3;66,92;68,13;65,76;100;100;98,9;7,73;11,94;11,21;9,88;3,86;11,54;11,21
1060070;Schackendorf;114,65;0,91;873,29;67,83;64,81;70,8;100;100;100;6,32;7,19;9,07;8,45;7,16;6,92;6,88
1060071;Schieren;41,35;-0,37;1227,06;63,52;72,6;55,81;100;100;100;7,17;10,85;10,405;12,46;6,13;12,22;11,63
